wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
2,225,0.05,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,unsafe,Yes,,19787,https://wifire-data.sdsc.edu/data//burnpro3d/d/99/71/run_99718019-1491-44c5-bac5-a3f4ab72b456/png/run_99718019-1491-44c5-bac5-a3f4ab72b456_fuels-dens_2100_000.png
2,180,0.05,ST5_FFDUET_Over10m,ST5_ignite_strip.dat,safe,safe,yes,,146344,https://wifire-data.sdsc.edu/data//burnpro3d/d/e4/a2/run_e4a2c59e-cf87-4272-a2fc-84a2c1347ddf/png/run_e4a2c59e-cf87-4272-a2fc-84a2c1347ddf_fuels-dens_2100_000.png
3,180,0.05,ST5_FFDUET_TLS,ST5_ignite_strip.dat,safe,unsafe,yes,,130621,https://wifire-data.sdsc.edu/data//burnpro3d/d/fe/88/run_fe8888bd-e110-4d66-b33d-7c152259f9a8/png/run_fe8888bd-e110-4d66-b33d-7c152259f9a8_fuels-dens_2100_000.png
2,225,0.05,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,Yes,,92417,https://wifire-data.sdsc.edu/data//burnpro3d/d/0e/02/run_0e029133-d031-43c0-ad85-3983315db7cf/png/run_0e029133-d031-43c0-ad85-3983315db7cf_fuels-dens_2100_000.png
2,240,0.05,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,Yes,,121483,https://wifire-data.sdsc.edu/data//burnpro3d/d/75/9c/run_759cffb5-2d36-4147-947e-baa4256fa468/png/run_759cffb5-2d36-4147-947e-baa4256fa468_fuels-dens_2100_000.png
2,225,0.05,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,170772,https://wifire-data.sdsc.edu/data//burnpro3d/d/16/8c/run_168cb554-21b6-4179-895a-85a6d0caaa41/png/run_168cb554-21b6-4179-895a-85a6d0caaa41_fuels-dens_2100_000.png
3,240,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,Yes,,138639,https://wifire-data.sdsc.edu/data//burnpro3d/d/cf/6a/run_cf6aa4ab-5ebc-4c66-86c4-dd3240563e9d/png/run_cf6aa4ab-5ebc-4c66-86c4-dd3240563e9d_fuels-dens_2100_000.png
3,225,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,Yes,,123618,https://wifire-data.sdsc.edu/data//burnpro3d/d/62/1f/run_621f4f7b-c9db-49f5-b687-5203f253699c/png/run_621f4f7b-c9db-49f5-b687-5203f253699c_fuels-dens_2100_000.png
2,225,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,safe,Yes,,126190,https://wifire-data.sdsc.edu/data//burnpro3d/d/9b/91/run_9b91d9bd-909a-45aa-8f65-dbfc8953572e/png/run_9b91d9bd-909a-45aa-8f65-dbfc8953572e_fuels-dens_2100_000.png
5,180,0.1,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,other,yes,,183516,https://wifire-data.sdsc.edu/data//burnpro3d/d/cf/13/run_cf13842c-e6c4-461b-ae77-8f8a9e954548/png/run_cf13842c-e6c4-461b-ae77-8f8a9e954548_fuels-dens_2100_000.png
