wind_speed,wdir,smois,ignition_pattern,fire_behavior,inside_area,outside_area,burned_area,FILE
2,180,0.05,0,0,120852,1536,122388,images/run_07127fcc-66c4-4498-a4c6-8e9f6e5fbe68_fuels-dens_2100_000.png
8,225,0.05,0,1,121306,47996,169302,images/run_cd34e198-92d8-465d-b7d7-9cdf8b4dbd12_fuels-dens_2100_000.png
8,195,0.05,0,1,135427,52115,187542,images/run_16f771f5-b830-4c22-962a-e5074d90c9c4_fuels-dens_2100_000.png
5,240,0.05,0,1,135424,46159,181583,images/run_11bea928-97ce-4188-80b9-06eda10d0a2b_fuels-dens_2100_000.png
8,225,0.05,0,1,121372,47583,168955,images/run_e60409b6-fb4e-4657-98e9-74610660014b_fuels-dens_2100_000.png
8,225,0.05,1,1,135420,52154,187574,images/run_aad3bb47-75f1-4db5-b4c6-d09368585317_fuels-dens_2100_000.png
8,225,0.05,0,1,135425,49601,185026,images/run_e1ad0175-130d-413d-8293-31e9ba2ced77_fuels-dens_2100_000.png
3,180,0.05,0,0,135426,26817,162243,images/run_90c51041-296a-4977-a2da-d764d7d8165d_fuels-dens_2100_000.png
12,255,0.05,0,1,135416,47819,183235,images/run_d28f79ae-24b7-45aa-a95d-dd2f1333f4a2_fuels-dens_2100_000.png
12,240,0.05,0,1,135419,48476,183895,images/run_60c66649-b8a1-449c-82cb-acc12c6f7ad9_fuels-dens_2100_000.png
3,225,0.05,0,1,135427,33847,169274,images/run_310aeb02-0def-4e5a-a004-d16725815b85_fuels-dens_2100_000.png
3,195,0.05,0,0,135427,13664,149091,images/run_c06b62c2-cce4-4a02-8e3c-6433261594c6_fuels-dens_2100_000.png
12,255,0.05,0,1,135372,48131,183503,images/run_e3f4c121-e202-450e-9152-0ec0a28318ff_fuels-dens_2100_000.png
12,255,0.05,1,1,135397,38191,173588,images/run_d9cb6639-a32d-4783-965c-f1389c06bd14_fuels-dens_2100_000.png
8,240,0.05,0,1,121248,47961,169209,images/run_00ddce4e-2b42-499c-a8c7-3642b206eee5_fuels-dens_2100_000.png
8,240,0.05,0,1,135426,48854,184280,images/run_cc0c4fa2-92a2-49bd-bb76-a19b3b7f4da5_fuels-dens_2100_000.png
8,240,0.05,0,1,135426,47661,183087,images/run_ebb86825-dbb9-4992-8544-38dcdcff9d28_fuels-dens_2100_000.png
12,255,0.05,0,1,121179,48417,169596,images/run_3657dcc7-0863-4db4-8936-e0ced230c013_fuels-dens_2100_000.png
12,180,0.05,1,1,135423,51089,186512,images/run_1ebf8029-7b17-4b13-8964-aa4e3a471e25_fuels-dens_2100_000.png
12,180,0.05,0,1,122035,48807,170842,images/run_78303682-4427-42c4-a947-d4405aafadaf_fuels-dens_2100_000.png
12,195,0.05,0,1,122597,50215,172812,images/run_495ba59f-860f-463b-8faa-92ff5a3959c2_fuels-dens_2100_000.png
12,195,0.05,1,1,135406,52899,188305,images/run_4f9b151b-f1dd-4ab9-947e-b2cd0c21084a_fuels-dens_2100_000.png
12,195,0.05,0,1,135410,50598,186008,images/run_8d0f252d-198a-4347-9144-c693103b0a34_fuels-dens_2100_000.png
12,225,0.05,0,1,121170,48541,169711,images/run_7fb7652e-2451-4382-94aa-80ee89fba33e_fuels-dens_2100_000.png
2,180,0.05,0,0,121175,4180,125355,images/run_686301e8-e86f-41b0-8e68-4d0bd98e6e41_fuels-dens_2100_000.png
12,225,0.05,1,1,135400,52145,187545,images/run_08fe9400-6dc4-41bd-896c-e69d14ad9587_fuels-dens_2100_000.png
8,255,0.05,0,1,135426,47283,182709,images/run_a3f75b42-bb4e-4622-8777-07711b1f49f4_fuels-dens_2100_000.png
8,255,0.05,1,1,135425,35347,170772,images/run_14d26113-851a-40e1-92fa-65f0eceb1bf6_fuels-dens_2100_000.png
8,255,0.05,0,1,120991,36618,157609,images/run_ea5c52fb-284b-4b50-9d8b-d2367b822bef_fuels-dens_2100_000.png
12,240,0.05,1,1,121169,48582,169751,images/run_50772e14-9ef0-4395-8a70-8e7bb15fcce3_fuels-dens_2100_000.png
12,240,0.05,1,1,135416,51269,186685,images/run_6f73be4e-b9da-4f52-9a9f-115344fc9a05_fuels-dens_2100_000.png
12,240,0.05,0,1,135379,49419,184798,images/run_07597bb1-219b-4f9f-a01b-8218605bfed5_fuels-dens_2100_000.png
12,225,0.05,0,1,135396,50652,186048,images/run_a0603b78-4db8-465a-ba4c-5f361dac1dcc_fuels-dens_2100_000.png
12,180,0.05,0,1,135422,49384,184806,images/run_0dd31a6f-45e7-4afd-a0fb-4657cba155e0_fuels-dens_2100_000.png
